SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
IMFA, EQ, 29-Jun-2017, 507.80, 514.90, 514.90, 482.50, 483.10, 485.00, 495.14, 59363, 293.93, 1988, 37419, 63.03
IMPAL, EQ, 29-Jun-2017, 798.40, 800.00, 804.95, 799.90, 804.95, 801.05, 800.18, 467, 3.74, 18, 422, 90.36
IMPEXFERRO, EQ, 29-Jun-2017, 1.20, 1.20, 1.25, 1.15, 1.20, 1.20, 1.18, 15420, 0.18, 16, 13900, 90.14
INDBANK, EQ, 29-Jun-2017, 15.70, 16.10, 16.10, 15.60, 15.70, 15.65, 15.86, 34223, 5.43, 157, 24410, 71.33
INDHOTEL, EQ, 29-Jun-2017, 128.10, 128.10, 130.70, 127.60, 128.55, 128.70, 128.88, 151108, 194.75, 6633, 82679, 54.72
INDIACEM, EQ, 29-Jun-2017, 191.00, 192.50, 200.40, 192.45, 198.95, 199.15, 196.66, 5600031, 11012.79, 27266, 982923, 17.55
INDIAGLYCO, EQ, 29-Jun-2017, 185.10, 186.00, 189.90, 186.00, 186.50, 187.25, 187.93, 68499, 128.73, 2047, 14247, 20.80
INDIANB, EQ, 29-Jun-2017, 281.80, 284.00, 287.00, 277.95, 279.00, 280.15, 283.80, 1316971, 3737.58, 16851, 372638, 28.30
INDIANCARD, EQ, 29-Jun-2017, 194.10, 194.95, 197.95, 194.00, 194.35, 195.40, 196.32, 1851, 3.63, 79, 1010, 54.57
INDIANHUME, EQ, 29-Jun-2017, 498.30, 502.95, 512.00, 495.90, 499.90, 498.90, 503.39, 36194, 182.20, 2128, 15239, 42.10
INDIGO, EQ, 29-Jun-2017, 1264.90, 1274.00, 1274.00, 1216.45, 1240.00, 1237.00, 1240.75, 1507923, 18709.56, 39598, 721268, 47.83
INDIGRID, IV, 29-Jun-2017, 97.26, 97.00, 97.48, 97.00, 97.20, 97.07, 97.10, 117369, 113.96, 23, 102060, 86.96
INDLMETER, EQ, 29-Jun-2017, 95.15, 95.15, 95.55, 92.45, 93.95, 93.95, 94.37, 7210, 6.80, 100, 6315, 87.59
INDNIPPON, EQ, 29-Jun-2017, 627.00, 625.05, 632.45, 625.05, 630.00, 630.35, 629.21, 501, 3.15, 59, 285, 56.89
INDOCO, EQ, 29-Jun-2017, 186.25, 187.00, 193.50, 187.00, 190.40, 192.50, 191.28, 40210, 76.91, 1196, 16040, 39.89
INDORAMA, EQ, 29-Jun-2017, 29.35, 29.95, 29.95, 29.00, 29.10, 29.10, 29.38, 48685, 14.30, 230, 16885, 34.68
INDOSOLAR, BE, 29-Jun-2017, 7.40, 7.50, 7.75, 7.05, 7.75, 7.75, 7.31, 880641, 64.41, 546, -, -
INDOTECH, EQ, 29-Jun-2017, 183.25, 186.00, 187.45, 185.00, 185.00, 185.00, 185.67, 5055, 9.39, 101, 3726, 73.71
INDOTHAI, EQ, 29-Jun-2017, 31.50, 32.20, 32.90, 31.70, 32.85, 32.70, 32.41, 7390, 2.40, 38, 7037, 95.22
INDOWIND, BE, 29-Jun-2017, 5.85, 5.75, 6.05, 5.65, 6.05, 6.00, 5.81, 92440, 5.37, 124, -, -
INDRAMEDCO, EQ, 29-Jun-2017, 52.30, 53.15, 53.25, 52.35, 52.55, 52.60, 52.69, 30301, 15.96, 309, 18814, 62.09
INDSWFTLAB, EQ, 29-Jun-2017, 36.50, 36.00, 37.50, 36.00, 36.25, 36.25, 36.86, 21099, 7.78, 132, 13521, 64.08
INDSWFTLTD, EQ, 29-Jun-2017, 7.65, 7.65, 7.85, 7.30, 7.50, 7.60, 7.58, 18323, 1.39, 46, 13972, 76.25
INDTERRAIN, EQ, 29-Jun-2017, 192.30, 190.20, 204.35, 190.20, 198.35, 197.85, 198.45, 13604, 27.00, 549, 6608, 48.57
INDUSINDBK, EQ, 29-Jun-2017, 1490.65, 1495.05, 1509.80, 1474.15, 1478.50, 1479.55, 1489.96, 806219, 12012.31, 38905, 458782, 56.91
INEOSSTYRO, EQ, 29-Jun-2017, 813.10, 822.00, 835.00, 810.05, 827.30, 825.85, 820.32, 15888, 130.33, 844, 10029, 63.12
INFIBEAM, EQ, 29-Jun-2017, 1044.65, 1050.00, 1064.00, 1037.10, 1046.80, 1043.10, 1049.53, 540767, 5675.52, 6748, 96836, 17.91
INFINITE, EQ, 29-Jun-2017, 206.50, 205.00, 207.80, 205.00, 206.50, 206.50, 206.56, 1424, 2.94, 61, 1238, 86.94
INFOBEAN, SM, 29-Jun-2017, 63.20, 64.90, 64.95, 63.65, 63.65, 63.65, 64.47, 26000, 16.76, 13, 18000, 69.23
INFRABEES, EQ, 29-Jun-2017, 323.00, 325.00, 325.56, 325.00, 325.56, 325.56, 325.50, 1305, 4.25, 2, 1305, 100.00
INFRATEL, EQ, 29-Jun-2017, 376.45, 379.90, 382.50, 374.25, 375.45, 378.20, 378.89, 5450689, 20652.37, 101550, 3142730, 57.66
INFY, EQ, 29-Jun-2017, 924.70, 930.20, 947.95, 926.60, 929.00, 930.20, 935.13, 7957020, 74408.38, 103952, 5660732, 71.14
